player_id,year,round,pick,team
baileja01,1979,1,6,SEA
bailere01,1984,6,135,DET
bailete01,1987,2,42,ATL
baileth01,1983,1,7,UTA
baileto01,1998,2,45,LAL
bairsca01,2014,2,49,CHI
bakered01,1981,9,185,DET
bakerji01,1975,3,39,PHI
bakerla02,1971,15,217,CLE
bakerto01,1981,3,64,SAS
bakervi01,1993,1,8,MIL
baldwpa01,2022,1,28,GSW
baldwwa01,2016,1,17,MEM
balench01,1985,6,120,SAC
baleswi01,1953,11,,ROC
balkmre01,2006,1,20,NYK
balkust01,1978,7,137,BOS
ballagr01,1977,1,4,WSB
ballla01,2020,1,3,CHO
ballla02,1984,6,134,POR
balllo01,2017,1,2,LAL
ballod01,1979,6,122,DEN
ballte01,1962,8,65,STL
baltile01,1972,12,168,KCO
baltipe01,1961,9,79,DET
bambamo01,2018,1,6,ORL
banchpa01,2022,1,1,ORL
bancrme01,1969,8,107,CIN
banede01,2020,1,30,BOS
bankoka01,1981,6,116,DAL
banksan01,1986,5,112,HOU
banksbi01,1955,5,38,MNL
banksea01,1981,6,122,SEA
banksfr01,1987,2,24,DET
banksge01,1981,2,28,SAS
banksge02,1995,2,46,MIA
banksja01,1984,3,48,PHI
banksma01,2003,1,13,MEM
bankswa01,1970,9,153,NYK
bannike01,1984,7,156,NYK
bantoda01,2021,2,46,TOR
bantomi01,1973,1,8,PHO
bantuke01,1985,7,142,NYK
baracst01,2007,2,39,MIA
barbejo01,1956,7,51,MNL
barbeno01,1987,4,86,POR
barbesa01,1973,16,202,BOS
barbole01,2003,1,28,SAS
bardost01,1990,2,41,ATL
bargnan01,2006,1,1,TOR
barimde01,1983,7,151,NYK
barkecl01,1949,5,,WSC
barketo01,1976,4,53,ATL
barklch01,1984,1,5,PHI
barkler01,2000,1,28,POR
barloje01,1982,7,153,DEN
barloke01,1986,1,23,LAL
barnebo01,1951,4,37,BOS
barnebo02,1965,8,68,PHI
barnech01,1983,5,94,HOU
barnedi01,1959,1,5,SYR
barnedi02,1950,5,55,NYK
barnedu01,1976,6,91,GSW
barneha01,1968,4,37,SDR
barneha02,2012,1,7,GSW
barneji01,1964,1,1,NYK
barneji02,1966,1,8,BOS
barneke01,1966,16,109,BAL
barneke02,1968,6,67,CHI
barnema01,1974,1,2,PHI
barnema02,2002,2,46,MEM
barnena01,1975,7,119,HOU
barnero01,1980,8,173,HOU
barnesc01,2021,1,4,TOR
barnhbr01,2025,2,44,OKC
barnhjo01,1959,11,79,STL
barnhle01,1949,2,14,INJ
barnhno01,1976,8,134,SEA
barnsda01,1950,7,73,BOS
barreer01,1951,1,7,BOS
barrerj01,2019,1,3,NYK
barrmi01,1972,13,180,CHI
barroda01,1989,1,16,SEA
barroro01,1976,7,112,MIL
barrybr01,1995,1,15,DEN
barrydr01,1996,2,57,SEA
barryjo01,1992,1,21,BOS
barryjo02,1947,3,,PRO
barryri01,1965,1,4,SFW
bartefr01,1948,3,,WSC
bartest01,1984,5,101,GSW
barthbo01,1981,8,178,SAS
bartlfr01,1969,10,141,BAL
bartodi01,1969,13,176,ATL
bartovi01,1970,6,87,SFW
bartowi01,2012,2,40,POR
bassbr01,2005,2,33,NOH
bassech01,2021,2,53,PHI
basseti01,1973,7,106,BUF
bastoma01,1998,2,58,CHI
batesbi01,1978,3,47,HOU
batesem01,2023,2,49,CLE
batesjo01,1980,10,204,IND
bateske01,2018,2,48,MIN
batisje01,1987,3,49,NYK
battish01,2001,1,6,MEM
battito01,1997,1,5,DEN
battlan01,1985,3,70,BOS
battljo01,1985,4,84,ATL
battlke01,1989,1,27,DET
battlle01,1974,4,71,BOS
battlmi01,1973,12,181,CAP
battlro01,1973,10,164,MIL
battoda01,1978,3,62,NJN
battsbo01,1976,7,110,NYK
battsll01,1974,4,60,KCO
batumni01,2008,1,25,HOU
baumjo01,1968,15,187,LAL
bavcied01,2006,2,56,TOR
baxteda01,1978,3,61,SEA
baxtelo01,2002,2,44,CHI
baxtero01,1980,4,91,LAL
bayleje01,2008,1,11,IND
baylest01,1978,9,180,CLE
bayloel01,1956,14,91,MNL
bayneho01,1966,15,107,BAL
bazleda01,2019,1,23,UTA
beached01,1950,5,59,MNL
beachte01,1951,7,63,INO
bealal01,1980,3,63,MIL
bealbr01,2012,1,3,WAS
bealdi01,1984,4,81,ATL
beamobo01,1969,15,189,PHO
beardbu01,1969,1,10,ATL
beardcr01,1985,4,80,CHI
beardel01,1984,8,165,CLE
beardra01,1949,1,10,CHS
beaslch01,1967,7,74,CIN
beaslje01,2003,2,33,MIA
beasljo01,1966,5,45,BAL
beaslma01,2016,1,19,DEN
beaslmi01,2008,1,2,MIA
beattar01,1968,3,36,PHO
beatyze01,1962,1,3,STL
beaubro01,2009,1,25,OKC
beaucma01,2022,1,24,MIL
bechtje01,1960,15,92,NYK
becirsa01,2003,2,46,DEN
beckby01,1967,2,15,CHI
beckear01,1964,3,24,STL
becker01,1953,1,1,PHW
beckero01,1970,10,168,BAL
beckje01,1982,4,89,MIL
beckjo01,1955,8,61,NYK
beckmhu01,1963,7,59,CIN
beckst01,1987,4,76,PHO
bedelbo01,1966,10,90,PHI
bedfoda01,1987,4,87,MIL
bedfowi01,1986,1,6,PHO
beechbo01,1986,4,91,SAC
beechea01,1967,15,150,CIN
beesodo01,1970,14,207,SEA
begarju01,2021,2,45,BOS
behagro01,1973,1,7,KCO
behnkel01,1951,4,38,ROC
behnkgu01,1985,5,101,CLE
beinshu01,1953,6,,ROC
belchdo01,1955,8,63,FTW
belchea01,1981,4,87,SAS
belchjo01,1972,11,164,PHO
belinla01,1980,5,102,POR
belinma01,2007,1,18,GSW
bellawa01,1961,1,1,CHP
bellawa02,1963,4,33,STL
bellco01,1968,9,109,CHI
bellde01,1973,5,83,NYK
belliro01,1952,4,,NYK
belljo01,2017,2,38,CHI
bellme01,1970,11,183,BAL
belloje01,1975,10,170,SEA
bellro01,1978,6,123,CLE
bellte01,1996,2,50,HOU
bellti01,1984,10,213,GSW
belltr01,2003,1,16,BOS
belmojo01,1956,5,40,PHW
beloval01,1975,10,161,NOJ
beltoki01,1980,2,42,PHO
beltoro01,1970,11,171,SDR
belzca01,1959,9,64,PHW
bembrde01,2016,1,21,ATL
bemorir01,1953,3,,MLH
benbole01,1974,2,27,CHI
bendebo01,1979,6,119,SDC
bendedr01,2016,1,4,PHO
bendejo01,1999,1,5,TOR
benecpa01,1962,9,73,NYK
benedto01,1968,17,199,CHI
benespa01,1959,11,78,NYK
benfibo01,1967,6,60,NYK
benfoto01,1986,4,93,BOS
benjabe01,1985,1,3,LAC
benjaco01,1998,1,28,CHI
benjaru01,1971,5,75,HOU
benneal01,1948,4,,PRO
bennean01,2013,1,1,CLE
bennebo01,1966,13,101,NYK
bennebu01,1954,5,45,MNL
benneel01,1992,2,38,ATL
benneke01,1983,7,156,NJN
bennema01,1995,1,27,PHO
benneto01,1992,2,35,CHH
bennewi01,1988,3,64,CLE
benniro01,1955,3,24,FTW
bensoke01,1977,1,1,MIL
bensoke02,2011,2,48,ATL
bensona01,1950,8,95,MNL
bensoro01,1981,10,215,IND
bentibe01,2016,2,51,BOS
